ID,TARGET DATE,STATUS,Type,GEORAPHY,CLOSE DATE,AGE,Description,Impact,Likelihood
R002,2022-12-24,Open,Internal,US,,170,Desc for R002,4,1
R003,2023-01-01,Closed,Internal,Asia,2023-01-17,16,Desc for R003,2,5
R004,2023-02-20,Open,Internal,US,,112,Desc for R004,5,4
R005,2023-03-02,Open,Strategic,US,,102,Desc for R005,1,1
R006,2023-04-14,Open,External,Europe,,59,Desc for R006,1,3
R007,2023-05-27,Closed,Strategic,Europe,2023-05-27,0,Desc for R007,5,5
R008,2023-03-10,Open,Internal,Asia,,94,Desc for R008,1,3
R009,2023-03-26,Closed,Internal,Asia,2023-03-30,4,Desc for R009,3,4
R0010,2023-02-28,Open,External,US,,104,Desc for R0010,1,4
R0011,2023-01-13,Closed,External,Asia,2023-01-13,0,Desc for R0011,4,4
R0012,2023-02-11,Open,Internal,US,,121,Desc for R0012,3,4
R0013,2023-05-23,Open,Internal,Asia,,20,Desc for R0013,1,1
R0014,2023-01-11,Open,Internal,Asia,,152,Desc for R0014,1,2
R0015,2023-04-14,Open,Internal,Asia,,59,Desc for R0015,4,1
R0016,2023-01-04,Closed,Internal,Asia,2023-01-08,4,Desc for R0016,4,2
R0017,2022-11-27,Open,Internal,US,,197,Desc for R0017,2,4
R0018,2022-12-28,Open,External,US,,166,Desc for R0018,1,3
R0019,2023-05-28,Open,Strategic,Europe,,15,Desc for R0019,3,5
R0020,2023-05-27,Open,Internal,US,,16,Desc for R0020,5,4
R0021,2023-06-12,Open,Internal,US,,0,Desc for R0021,3,1
R0022,2023-02-01,Open,Internal,US,,131,Desc for R0022,4,2
R0023,2023-04-25,Open,Internal,Asia,,48,Desc for R0023,2,2
R0024,2023-03-04,Open,Internal,US,,100,Desc for R0024,2,1
R0025,2022-12-23,Open,Internal,Asia,,171,Desc for R0025,2,2
R0026,2023-03-01,Open,Internal,Europe,,103,Desc for R0026,1,5
R0027,2023-03-08,Open,Internal,US,,96,Desc for R0027,3,2
R0028,2023-05-31,Open,Internal,Asia,,12,Desc for R0028,1,1
R0029,2022-11-29,Open,Internal,Asia,,195,Desc for R0029,2,5
R0030,2023-05-24,Open,Internal,US,,19,Desc for R0030,5,5
R0031,2023-03-26,Open,Internal,US,,78,Desc for R0031,1,4
R0032,2022-11-30,Open,Internal,US,,194,Desc for R0032,1,2
R0033,2023-03-17,Open,Strategic,Europe,,87,Desc for R0033,2,5
R0034,2022-12-28,Open,Internal,Europe,,166,Desc for R0034,3,5
R0035,2023-05-06,Closed,Internal,Europe,2023-05-08,2,Desc for R0035,5,2
R0036,2023-03-14,Open,Internal,US,,90,Desc for R0036,4,5
R0037,2023-03-06,Closed,Strategic,Asia,2023-03-23,17,Desc for R0037,5,4
R0038,2023-03-31,Open,Internal,Asia,,73,Desc for R0038,2,4
R0039,2023-05-17,Open,Strategic,US,,26,Desc for R0039,2,1
R0040,2023-02-09,Open,Internal,US,,123,Desc for R0040,2,4
R0041,2023-01-28,Closed,Internal,Europe,2023-02-06,9,Desc for R0041,2,1
R0042,2023-04-09,Closed,External,Europe,2023-04-20,11,Desc for R0042,2,1
R0043,2023-03-10,Closed,Internal,Asia,2023-03-18,8,Desc for R0043,2,4
R0044,2023-03-31,Open,External,Asia,,73,Desc for R0044,2,3
R0045,2023-02-04,Open,Internal,Asia,,128,Desc for R0045,2,1
R0046,2023-02-05,Closed,Internal,Asia,2023-02-15,10,Desc for R0046,4,1
R0047,2023-01-09,Open,Strategic,Asia,,154,Desc for R0047,1,2
R0048,2023-05-10,Closed,External,US,2023-05-10,0,Desc for R0048,5,1
R0049,2023-04-15,Open,Internal,Europe,,58,Desc for R0049,1,3
R0050,2023-01-21,Open,Internal,Asia,,142,Desc for R0050,3,4
R0051,2023-01-08,Open,Internal,Asia,,155,Desc for R0051,4,2
R0052,2023-05-06,Closed,Strategic,Europe,2023-05-10,4,Desc for R0052,3,5
R0053,2022-12-25,Open,Strategic,US,,169,Desc for R0053,5,5
R0054,2023-05-31,Open,Internal,Asia,,12,Desc for R0054,4,4
R0055,2022-12-20,Closed,Strategic,US,2022-12-20,0,Desc for R0055,2,4
R0056,2023-03-28,Open,Internal,Europe,,76,Desc for R0056,1,5
R0057,2023-02-01,Open,External,Asia,,131,Desc for R0057,4,3
R0058,2023-01-02,Open,Strategic,Asia,,161,Desc for R0058,5,4
R0059,2023-04-28,Open,Internal,US,,45,Desc for R0059,2,5
R0060,2023-01-03,Open,Internal,Asia,,160,Desc for R0060,4,5
R0061,2023-03-19,Closed,Internal,US,2023-03-19,0,Desc for R0061,3,4
R0062,2023-04-23,Open,Strategic,Europe,,50,Desc for R0062,3,3
R0063,2023-01-21,Open,External,Asia,,142,Desc for R0063,3,3
R0064,2023-05-01,Open,Internal,Europe,,42,Desc for R0064,4,5
R0065,2023-01-29,Open,Internal,Asia,,134,Desc for R0065,2,2
R0066,2023-01-06,Open,External,Asia,,157,Desc for R0066,2,5
R0067,2023-04-06,Open,Internal,Asia,,67,Desc for R0067,3,5
R0068,2023-04-12,Open,Strategic,US,,61,Desc for R0068,4,2
R0069,2022-11-28,Open,Internal,Asia,,196,Desc for R0069,4,2
R0070,2023-04-23,Open,Internal,Asia,,50,Desc for R0070,1,1
R0071,2023-01-13,Closed,Strategic,US,2023-01-15,2,Desc for R0071,1,2
R0072,2023-03-29,Open,Strategic,Europe,,75,Desc for R0072,2,2
R0073,2023-05-09,Open,External,US,,34,Desc for R0073,5,5
R0074,2023-01-17,Open,Internal,US,,146,Desc for R0074,1,3
R0075,2023-01-31,Open,Internal,Asia,,132,Desc for R0075,5,1
R0076,2023-05-23,Open,External,Asia,,20,Desc for R0076,3,5
R0077,2023-02-19,Open,Internal,US,,113,Desc for R0077,3,2
R0078,2023-05-03,Open,Internal,Europe,,40,Desc for R0078,2,4
R0079,2023-05-22,Closed,Internal,US,2023-06-01,10,Desc for R0079,5,1
R0080,2023-03-22,Open,Strategic,Europe,,82,Desc for R0080,2,3
R0081,2023-05-08,Open,Strategic,US,,35,Desc for R0081,3,1
R0082,2023-02-04,Open,Strategic,Europe,,128,Desc for R0082,3,3
R0083,2023-02-01,Open,Strategic,Europe,,131,Desc for R0083,5,2
R0084,2023-01-29,Open,Internal,US,,134,Desc for R0084,4,4
R0085,2023-01-14,Open,External,US,,149,Desc for R0085,3,3
R0086,2023-01-07,Open,Internal,US,,156,Desc for R0086,2,4
R0087,2023-06-07,Open,Strategic,US,,5,Desc for R0087,5,5
R0088,2023-05-01,Open,Strategic,US,,42,Desc for R0088,1,3
