ID,CREATE DATE,STATUS,PRIORITY,GEORAPHY,CLOSE DATE,AGE,Description
INC002,2022-12-31,New,P4,Asia,,201,Desc for INC002
INC003,2023-02-24,New,P1,US,,146,Desc for INC003
INC004,2023-05-01,WIP,P2,US,,80,Desc for INC004
INC005,2023-06-08,New,P3,Asia,,42,Desc for INC005
INC006,2023-05-12,New,P2,US,,69,Desc for INC006
INC007,2023-04-25,Closed,P2,US,2023-04-27,2,Desc for INC007
INC008,2023-03-09,New,P2,Asia,,133,Desc for INC008
INC009,2023-04-27,New,P2,Asia,,84,Desc for INC009
INC0010,2022-12-10,Closed,P1,Europe,2022-12-12,2,Desc for INC0010
INC0011,2023-02-18,New,P1,US,,152,Desc for INC0011
INC0012,2022-12-24,Closed,P2,US,2022-12-24,0,Desc for INC0012
INC0013,2023-02-03,Closed,P4,Europe,2023-02-11,8,Desc for INC0013
INC0014,2023-01-18,WIP,P3,Asia,,183,Desc for INC0014
INC0015,2023-04-22,WIP,P2,Europe,,89,Desc for INC0015
INC0016,2023-02-22,Closed,P2,Europe,2023-02-24,2,Desc for INC0016
INC0017,2023-02-19,Closed,P3,Europe,2023-02-20,1,Desc for INC0017
INC0018,2022-11-26,New,P4,US,,236,Desc for INC0018
INC0019,2022-11-28,New,P3,Asia,,234,Desc for INC0019
INC0020,2023-05-23,New,P3,Europe,,58,Desc for INC0020
INC0021,2023-04-01,Closed,P4,US,2023-04-01,0,Desc for INC0021
INC0022,2023-05-24,Closed,P1,Asia,2023-05-26,2,Desc for INC0022
INC0023,2022-12-17,Closed,P1,Europe,2022-12-20,3,Desc for INC0023
INC0024,2023-03-05,Closed,P4,US,2023-03-06,1,Desc for INC0024
INC0025,2023-04-16,New,P2,US,,95,Desc for INC0025
INC0026,2023-04-14,New,P4,Asia,,97,Desc for INC0026
INC0027,2023-05-14,New,P3,US,,67,Desc for INC0027
INC0028,2023-01-28,Closed,P2,Europe,2023-02-06,9,Desc for INC0028
INC0029,2023-06-06,New,P2,Asia,,44,Desc for INC0029
INC0030,2023-02-04,Closed,P2,US,2023-02-15,11,Desc for INC0030
INC0031,2022-12-09,Closed,P2,Asia,2022-12-12,3,Desc for INC0031
INC0032,2023-04-14,New,P2,Europe,,97,Desc for INC0032
INC0033,2023-02-11,WIP,P2,Europe,,159,Desc for INC0033
INC0034,2023-05-02,Closed,P2,US,2023-05-04,2,Desc for INC0034
INC0035,2023-04-16,Closed,P2,US,2023-04-24,8,Desc for INC0035
INC0036,2023-05-24,WIP,P4,Asia,,57,Desc for INC0036
INC0037,2023-04-06,Closed,P3,US,2023-04-11,5,Desc for INC0037
INC0038,2023-02-20,Closed,P2,Europe,2023-03-03,11,Desc for INC0038
INC0039,2023-04-12,Closed,P2,Asia,2023-04-15,3,Desc for INC0039
