ID,CREATE DATE,STATUS,Type,GEOGRAPHY,CLOSE DATE,AGE,Description,Impact,Likelihood,Target Date
R002,2023-02-05,Open,Internal,Asia,,177,Desc for R002,1,4,2023-08-05
R003,2023-02-01,Open,Internal,Europe,,181,Desc for R003,2,3,2023-10-02
R004,2023-05-09,Open,Internal,Europe,,84,Desc for R004,2,1,2023-07-03
R005,2023-04-07,Open,External,US,,116,Desc for R005,3,1,2023-09-03
R006,2023-06-27,Closed,Internal,Asia,2023-07-04,7,Desc for R006,3,2,2023-10-10
R007,2023-07-31,Closed,Internal,Asia,2023-07-31,0,Desc for R007,5,1,2023-09-19
R008,2023-01-29,Open,Internal,Europe,,184,Desc for R008,5,5,2023-10-11
R009,2023-04-13,Closed,Strategic,US,2023-04-19,6,Desc for R009,3,2,2023-05-26
R0010,2023-06-20,Closed,External,Asia,2023-06-21,1,Desc for R0010,5,5,2023-07-27
R0011,2023-07-22,Open,External,Asia,,10,Desc for R0011,1,3,2023-11-05
R0012,2023-07-22,Open,Internal,Asia,,10,Desc for R0012,2,5,2023-10-07
R0013,2023-07-20,Closed,Internal,Europe,2023-07-20,0,Desc for R0013,2,5,2023-07-06
R0014,2023-03-29,Closed,Internal,Asia,2023-03-30,1,Desc for R0014,4,4,2023-06-13
R0015,2023-07-05,Open,Internal,US,,27,Desc for R0015,3,1,2023-07-04
R0016,2023-04-24,Open,Strategic,Asia,,99,Desc for R0016,4,4,2023-09-04
R0017,2023-04-09,Open,Strategic,Asia,,114,Desc for R0017,2,1,2023-09-06
R0018,2023-05-21,Open,Internal,US,,72,Desc for R0018,1,3,2023-11-02
R0019,2023-05-09,Open,External,US,,84,Desc for R0019,4,1,2023-10-25
R0020,2023-07-10,Open,Internal,Asia,,22,Desc for R0020,4,3,2023-07-20
R0021,2023-07-14,Open,Internal,US,,18,Desc for R0021,4,1,2023-10-13
R0022,2023-06-16,Open,Internal,Asia,,46,Desc for R0022,4,5,2023-07-03
R0023,2023-05-07,Open,Internal,Asia,,86,Desc for R0023,4,2,2023-10-10
R0024,2023-04-04,Open,Internal,Asia,,119,Desc for R0024,2,3,2023-09-14
R0025,2023-06-01,Open,Internal,US,,61,Desc for R0025,4,5,2023-08-05
R0026,2023-01-16,Open,Internal,US,,197,Desc for R0026,3,1,2023-07-13
R0027,2023-04-11,Open,External,Europe,,112,Desc for R0027,2,1,2023-09-28
R0028,2023-01-30,Closed,Internal,US,2023-02-02,3,Desc for R0028,3,4,2023-04-25
R0029,2023-04-11,Open,Internal,Asia,,112,Desc for R0029,1,5,2023-07-16
R0030,2023-04-19,Closed,Internal,Asia,2023-04-19,0,Desc for R0030,1,5,2023-07-07
R0031,2023-05-23,Open,Internal,Europe,,70,Desc for R0031,5,3,2023-10-07
R0032,2023-02-11,Closed,Internal,Asia,2023-02-12,1,Desc for R0032,3,4,2023-01-17
R0033,2023-02-12,Open,Internal,US,,170,Desc for R0033,4,5,2023-07-18
R0034,2023-04-29,Open,Strategic,US,,94,Desc for R0034,4,5,2023-08-11
R0035,2023-04-09,Open,External,Asia,,114,Desc for R0035,5,5,2023-08-16
R0036,2023-01-17,Closed,Internal,US,2023-02-03,17,Desc for R0036,5,5,2023-04-08
R0037,2023-05-08,Open,Internal,Asia,,85,Desc for R0037,4,5,2023-10-04
R0038,2023-03-17,Open,Strategic,Asia,,137,Desc for R0038,1,1,2023-07-03
R0039,2023-05-28,Open,External,US,,65,Desc for R0039,4,4,2023-08-29
R0040,2023-07-06,Open,External,US,,26,Desc for R0040,3,5,2023-08-18
R0041,2023-03-17,Closed,Strategic,Asia,2023-04-03,17,Desc for R0041,4,3,2023-06-04
R0042,2023-02-06,Open,External,Asia,,176,Desc for R0042,3,4,2023-10-14
R0043,2023-04-29,Closed,Internal,US,2023-05-05,6,Desc for R0043,5,1,2023-08-03
R0044,2023-05-31,Open,Internal,US,,62,Desc for R0044,1,1,2023-08-26
R0045,2023-03-12,Closed,Internal,US,2023-03-21,9,Desc for R0045,4,5,2023-04-12
R0046,2023-06-08,Closed,Internal,Europe,2023-06-09,1,Desc for R0046,5,5,2023-05-27
R0047,2023-02-09,Open,Strategic,US,,173,Desc for R0047,5,3,2023-09-13
R0048,2023-01-19,Open,External,US,,194,Desc for R0048,1,1,2023-07-22
R0049,2023-02-26,Closed,Internal,Asia,2023-03-01,3,Desc for R0049,3,3,2023-04-04
R0050,2023-06-27,Open,Internal,Europe,,35,Desc for R0050,3,5,2023-10-18
R0051,2023-07-09,Open,Strategic,Europe,,23,Desc for R0051,3,2,2023-08-26
R0052,2023-01-22,Closed,Internal,US,2023-01-25,3,Desc for R0052,3,4,2023-03-10
R0053,2023-06-01,Open,Internal,Asia,,61,Desc for R0053,3,4,2023-10-05
R0054,2023-06-20,Open,Internal,Europe,,42,Desc for R0054,2,1,2023-09-12
R0055,2023-02-16,Open,External,US,,166,Desc for R0055,1,4,2023-08-12
R0056,2023-06-25,Closed,Strategic,Europe,2023-06-25,0,Desc for R0056,1,1,2023-08-19
R0057,2023-05-31,Open,External,US,,62,Desc for R0057,4,1,2023-09-14
R0058,2023-02-06,Closed,Internal,Asia,2023-02-06,0,Desc for R0058,2,1,2023-01-14
R0059,2023-06-15,Closed,Strategic,Asia,2023-06-18,3,Desc for R0059,3,2,2023-07-23
R0060,2023-02-16,Open,Internal,Europe,,166,Desc for R0060,5,1,2023-10-12
R0061,2023-01-20,Closed,Internal,Asia,2023-02-02,13,Desc for R0061,3,5,2023-03-07
R0062,2023-02-08,Open,Internal,US,,174,Desc for R0062,3,1,2023-07-02
R0063,2023-03-12,Open,Internal,Europe,,142,Desc for R0063,3,1,2023-10-19
R0064,2023-03-09,Closed,Internal,Asia,2023-03-14,5,Desc for R0064,3,5,2023-06-09
R0065,2023-06-27,Open,Internal,US,,35,Desc for R0065,5,2,2023-09-03
R0066,2023-05-30,Closed,Strategic,US,2023-06-01,2,Desc for R0066,5,3,2023-07-06
R0067,2023-04-12,Open,Internal,Europe,,111,Desc for R0067,3,3,2023-09-10
R0068,2023-01-15,Closed,Internal,US,2023-01-20,5,Desc for R0068,3,4,2023-02-21
R0069,2023-05-11,Open,Internal,Europe,,82,Desc for R0069,3,1,2023-10-24
R0070,2023-03-07,Open,Strategic,Europe,,147,Desc for R0070,3,2,2023-08-10
R0071,2023-04-02,Open,Internal,Asia,,121,Desc for R0071,1,4,2023-11-02
R0072,2023-07-14,Open,Internal,Asia,,18,Desc for R0072,5,3,2023-09-17
R0073,2023-03-03,Closed,Internal,US,2023-03-06,3,Desc for R0073,4,2,2023-06-03
R0074,2023-04-28,Closed,Strategic,Asia,2023-05-12,14,Desc for R0074,1,2,2023-05-03
R0075,2023-05-11,Open,Strategic,Europe,,82,Desc for R0075,1,5,2023-10-22
R0076,2023-05-25,Open,Internal,US,,68,Desc for R0076,1,3,2023-08-22
R0077,2023-03-02,Open,Strategic,US,,152,Desc for R0077,5,1,2023-09-14
R0078,2023-07-10,Open,Internal,US,,22,Desc for R0078,1,3,2023-10-14
R0079,2023-07-09,Open,Internal,Asia,,23,Desc for R0079,4,1,2023-09-21
R0080,2023-05-05,Open,Internal,Europe,,88,Desc for R0080,2,1,2023-07-10
R0081,2023-06-05,Open,Internal,US,,57,Desc for R0081,5,1,2023-10-29
R0082,2023-05-17,Open,External,Europe,,76,Desc for R0082,4,3,2023-11-05
R0083,2023-03-18,Open,Internal,Europe,,136,Desc for R0083,2,4,2023-08-24
R0084,2023-04-30,Open,External,Asia,,93,Desc for R0084,3,5,2023-10-06
R0085,2023-04-29,Open,Strategic,Europe,,94,Desc for R0085,1,1,2023-08-30
R0086,2023-03-10,Open,Internal,US,,144,Desc for R0086,3,4,2023-10-03
R0087,2023-01-22,Closed,Internal,US,2023-01-22,0,Desc for R0087,5,2,2023-01-20
R0088,2023-04-12,Open,External,US,,111,Desc for R0088,2,4,2023-10-26
